customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,avg_call_duration,data_usage_gb,login_frequency,churned
CUST_000001,40,4,41.54,255.19,One year,Bank transfer,Fiber optic,2,11.4,11.13,15,0
CUST_000002,33,5,51.34,348.18,Month-to-month,Credit card,Fiber optic,1,8.8,53.0,14,0
CUST_000003,42,14,57.94,782.45,Two year,Mailed check,No,0,1.7,62.6,17,0
CUST_000004,53,8,91.27,742.81,Month-to-month,Bank transfer,Fiber optic,3,32.5,5.37,9,1
CUST_000005,32,6,35.93,144.1,Month-to-month,Credit card,Fiber optic,3,1.6,24.37,18,0
CUST_000006,32,24,56.06,1386.78,Month-to-month,Electronic check,No,2,11.8,15.18,14,1
CUST_000007,53,25,88.83,2298.3,Two year,Electronic check,DSL,2,27.6,8.34,17,0
CUST_000008,44,41,57.5,2359.62,Month-to-month,Electronic check,Fiber optic,2,10.3,23.24,15,0
CUST_000009,29,12,76.51,884.76,Month-to-month,Credit card,Fiber optic,2,8.8,32.11,15,1
CUST_000010,41,1,61.51,79.52,One year,Electronic check,DSL,3,18.7,1.4,15,1
CUST_000011,29,7,71.42,520.81,Month-to-month,Electronic check,DSL,5,2.5,54.86,20,1
CUST_000012,29,72,59.29,4272.81,One year,Mailed check,Fiber optic,2,2.6,40.89,6,0
CUST_000013,37,21,81.68,1724.15,Month-to-month,Credit card,DSL,2,8.2,19.56,17,0
CUST_000014,18,29,26.37,756.14,Month-to-month,Credit card,DSL,1,17.1,8.35,16,0
CUST_000015,18,1,55.92,105.71,Month-to-month,Mailed check,No,0,7.7,32.77,15,1
CUST_000016,28,17,72.41,1267.85,Month-to-month,Credit card,Fiber optic,2,30.2,10.43,17,0
CUST_000017,22,1,78.34,78.34,One year,Electronic check,No,0,2.0,71.52,15,1
CUST_000018,38,20,102.32,1995.95,One year,Electronic check,DSL,3,14.0,49.3,14,1
CUST_000019,24,60,55.22,3300.74,One year,Credit card,No,3,21.0,20.48,13,0
CUST_000020,18,72,101.99,7379.91,Two year,Bank transfer,Fiber optic,2,4.5,8.98,16,0
CUST_000021,52,18,48.52,880.84,Month-to-month,Electronic check,Fiber optic,0,26.2,32.99,12,1
CUST_000022,32,14,98.22,1342.87,Month-to-month,Mailed check,DSL,3,1.8,44.35,10,0
CUST_000023,35,69,85.44,5908.21,One year,Credit card,Fiber optic,3,24.4,14.38,15,0
CUST_000024,18,26,42.16,1079.71,One year,Credit card,Fiber optic,3,18.6,30.31,20,0
